MONTH,Total_off,Rolling_Total
2020-03,9628,9628
2020-04,26710,36338
2020-05,25804,62142
2020-06,7627,69769
2020-07,7112,76881
2020-08,1969,78850
2020-09,609,79459
2020-10,450,79909
2020-11,237,80146
2020-12,852,80998
2021-01,6813,6813
2021-02,868,7681
2021-03,47,7728
2021-04,261,7989
2021-06,2434,10423
2021-07,80,10503
2021-08,1867,12370
2021-09,161,12531
2021-10,22,12553
2021-11,2070,14623
2021-12,1200,15823
2022-01,510,510
2022-02,3685,4195
2022-03,5714,9909
2022-04,4128,14037
2022-05,12885,26922
2022-06,17394,44316
2022-07,16223,60539
2022-08,13055,73594
2022-09,5881,79475
2022-10,17406,96881
2022-11,53451,150332
2022-12,10329,160661
2023-01,84714,84714
2023-02,36493,121207
2023-03,4470,125677
